IOC,File Name,Type,First Seen on VT
hxxp://164.68.104.126/htt_p,,URL,10/2/2020
19e680eaa52c0ad14274b04141a8e172d2ec1a01a3f429263090a990120ad9df,officetool.exe,executable,4/18/2021
hxxp://161.97.142[.]96/htt_p,,URL,4/18/2021
hxxp://164.68.108.153/h_ttp,,URL,4/11/2021
33533dadcc92631727eaf4bfb9df640fd29aa68f6914aafe12597ef3404d0082,winstr.exe,executable,1/15/2021
144.91.65[.]100,,IP Address,1/15/2021
a40a5b308253a683b706885327fd8445600451bfd410778126b309ea8bb54236,tasksmgr.exe,executable,1/25/2021
173.249.50[.]230,,IP Address,1/25/2021
b0dd5fc993f7eedff8179193cf4aa505342efad2ea74aecb3754284a0995aee4,svchostt.exe,executable,1/26/2021
6cb62698bf337bdcad590c5ee5917afe654fe18a793cb555fd3f22a860d7011d,sever.exe,executable,1/19/2021
5c99faa28727bdfdcbf0a14786b7059df5932bba76dd6dbf0e98636fd4c80395 ,wordex.exe,executable,5/4/2021
hxxp://173.249.40.68/h_tt_p,,URL,5/4/2021
5a4616da2511ae67e0892a043d3079977e9b57c73f2c21031284ce473f84e071,windelo,Executable,4/23/2021
hxxp://167.86.83.29:3245,,URL,4/23/2021
fad7d427e5904e870426d3edbd6b06da46ccf6bf885df2dc3c567b05d104ecd5,DUser.dll,executable,6/8/2021
827a869552d07e1b469092694c07cb436eece54f7c9d5a8f229f0d65f39504e7,winidr.exe,executable,6/8/2021
hxxp://167.86.75.119:51742,,,6/8/2021
402b8f0004931ba334161bdcedd42c8e8bf4c8398a3739e0c9e6ce9e0514b581,DUser.dll,executable,4/28/2021
cf16c7ece034eca4d6489f77d87a7100ba3b4721678bde3bf2e54a01dd4ecc51,DUser.dll,executable,1/26/2021
d36dd9c94384c8e8f9b2229ef01dfb9fc799f0420428af8e3d04b06c324a6b59,winidr.exe,executable,1/23/2021
7f3ce9fd0863bf591f360e163dc7d3aee6d3810a89863fed3cbad980fef72430,winidr.exe,executable,5/6/2021
67c3e0e36a27f353e87583aee3749c056ee1d47850b3f112ddcf138523626727,winidr.exe,executable,3/30/2021
hxxp://144.91.65.100:4145,,URL,12/8/2020
hxxp://207.180.230.63/htt_p,,URL,3/4/2021
939a1d74b0902662fd1575ad7fef8c09f8a4291674cd0c721e2d79efbdb3b584,officetool.exe,Executable,3/4/2021
164.68.108.153,,IP address,4/1/2021
167.86.97.221 ,,IP address,3/4/2021
certindia.ignorelist[.]com      ,,Domain,1/1/2021
defencecyberorg.myddns[.]me     ,,Domain,1/1/2021
certindia.chickenkiller[.]com   ,,Domain,1/1/2021
coronavirusupdate.ddnsking[.]com,,Domain,2/1/2021
frankooxyz2.ddns.net,,Domain,1/19/2021
161.97.142.96 ,,IP address,5/21/2021
144.91.65.100,,IP address,12/8/2020
203.175.72.105,,IP address,3/14/2021
115.186.189.6,,IP Address,3/1/2021
182.188.181.223,,IP Address,3/14/2021
103.255.7.3,,IP Address,4/1/2021
182.188.181.224,,IP Address,5/1/2021
207.180.230.63,,IP Address,4/1/2021
,,,
,,,
,,,
,,,
,,,
