IOC	        Type	First Seen	Last Seen	Category
xxqw.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
hume.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
oklm.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
ayln.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
abpi.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
amushuvfikjas.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
firc.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
voias.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
acgtjkiufde.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
awerdasvbjgrt.b2047.com	Domain	2022-06-01	2023-06-14	Tier 2
xaqw.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
lfdx.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
xbqw.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
dfgh.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
oklm.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
hyjk.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
mail.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
axqw.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
api.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
awqx.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
hnai.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
qwsd.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
wsxe.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
nulp.k3121.com	Domain	2021-03-23	2022-04-13	Tier 2
hyddh.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
blepmhnay.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
dkuwbcen.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
ftcexq.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
eufcj.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
saoadlg.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
gmhrxhc.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
vbbrfvhrg.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
wndaoyk.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
ecvkiehs.com	TLS Cert Domain	2024-09-03	2024-09-04	Tier 2
hfsdln.com	TLS Cert Domain	2024-09-02	2024-09-04	Tier 2
osiso.com	TLS Cert Domain	2024-08-26	2024-09-04	Tier 2
bcdkwwuah.com	TLS Cert Domain	2024-06-06	2024-09-04	Tier 2
cvmnomvxm.com	TLS Cert Domain	2024-06-06	2024-09-04	Tier 2
cvgeuwo.com	TLS Cert Domain	2024-06-06	2024-09-04	Tier 2
lofeuq.com	TLS Cert Domain	2024-06-06	2024-09-04	Tier 2
lznmihdej.com	TLS Cert Domain	2024-06-06	2024-09-04	Tier 2
fajxtg.com	TLS Cert Domain	2024-06-06	2024-09-04	Tier 2
grntjr.com	TLS Cert Domain	2024-06-06	2024-09-04	Tier 2
oploz.com	TLS Cert Domain	2024-06-05	2024-09-04	Tier 2
mudvw.com	TLS Cert Domain	2024-06-05	2024-09-04	Tier 2
amdord.com	TLS Cert Domain	2024-06-06	2024-09-04	Tier 2
mvxnspcqr.com	TLS Cert Domain	2024-06-16	2024-09-04	Tier 2
adjsn.com	TLS Cert Domain	2024-06-06	2024-09-04	Tier 2
ttcyci.com	TLS Cert Domain	2024-06-05	2024-09-04	Tier 2
glxxet.com	TLS Cert Domain	2024-06-13	2024-09-04	Tier 2
nmfagp.com	TLS Cert Domain	2024-08-19	2024-09-02	Tier 2
rnjca.com	TLS Cert Domain	2024-06-05	2024-09-01	Tier 2
woaba.com	TLS Cert Domain	2024-06-06	2024-08-13	Tier 2
bxgtbv.com	TLS Cert Domain	2024-06-08	2024-07-29	Tier 2
ykcmewapc.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
tvcvhzyk.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
sreudcnb.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
vgbgwzmr.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
jgnsqihc.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
dvujvkfu.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
clqqknzb.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
sbuybjv.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
lomuzs.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
hersrr.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
lfzupr.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
zuszr.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
jkwxcc.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
obqlibg.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
omviak.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
qjknpv.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
wvsezu.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
ysubryfv.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
nhcmdikkd.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
kmgzbowwg.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
qsxgzu.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
oicdsgjxz.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
iycwqot.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
ujrtkw.com	TLS Cert Domain	2024-06-05	2024-07-29	Tier 2
bkhqwfhtu.com	TLS Cert Domain	2024-06-06	2024-07-29	Tier 2
aqakffj.com	TLS Cert Domain	2024-06-05	2024-06-11	Tier 2
2aa12e5989065951be84ce932b65bd197dd6be3fa987838bad48536c0c74d145	TLS Fingerprint			"kr" certificate
c6fe1748e68923f278926ee8679aaee22800b9c93c38641d12ea0e945e116bb0	TLS Fingerprint			Sparrow "BeiJing" certificate
546390a3a296154e36051dda745b573658311f9831789bb1faca411a3803a9bb	TLS Fingerprint			Sparrow "beijing" certificate

The following encoded URL snippets would be observed in outbound GET requests to a Tier 2 first-stage or second-stage payload server. If they are identified, they are indicative of a compromised device:

zdacasdc.w8510.com PiAlJyU3ICdqM3xxdXRqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

zdacxzd.w8510.com PiAlJzw+IGozfHF1dGonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

zasdfgasd.w8510.com PiU3ICIjJTcgajN8cXV0aicrKUREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

bzbatflwb.w8510.com Jj4mJTAiKDMmajN8cXV0aicrKUREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

wmllxwkg.w8510.com MykoKDwzLyNqM3xxdXRqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

apdfhhjcxcb.w8510.com JTQgIiwsLic8JyZqM3xxdXRqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

lyblqwesfawe.w8510.com KD0mKDUzITciJTMhajN8cXV0aicrKUREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

awbpxtpi.w8510.com JTMmNDwwNC1qM3xxdXRqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

aewreiuicajo.w8510.com JSEzNiEtMS0nJS4rajN8cXV0aicrKUREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

ocmnusdjdik.w8510.com KycpKjE3IC4gLS9qM3xxdXRqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

mjiudwajhkf.w8510.com KS4tMSAzJS4sLyJqM3xxdXRqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

tuisasdcxzd.w8510.com MDEtNyU3ICc8PiBqM3xxdXRqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

kliscjaisdjhi.w8510.com LygtNycuJS03IC4sLWozfHF1dGonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

dftiscasdwe.w8510.com ICIwLTcnJTcgMyFqM3xxdXRqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

qacassdfawemp.w8510.com NSUnJTc3ICIlMyEpNGozfHF1dGonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

acgtjkiufde.b2047.com JScjMC4vLTEiICFqJnZ0cHNqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

voias.b2047.com MistJTdqJnZ0cHNqJyspREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

amushuvfikjas.b2047.com JSkxNywxMiItLy4lN2omdnRwc2onKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

awerdasvbjgrt.b2047.com JTMhNiAlNzImLiM2MGomdnRwc2onKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

abpi.b2047.com JSY0LWomdnRwc2onKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

kuyw.b2047.com LzE9M2omdnRwc2onKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

xxqw.b2047.com PDw1M2omdnRwc2onKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

oklm.b2047.com Ky8oKWomdnRwc2onKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

firc.b2047.com Ii02J2omdnRwc2onKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

hume.b2047.com LDEpIWomdnRwc2onKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

ayln.b2047.com JT0oKmomdnRwc2onKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

wsxe.k3121.com Mzc8IWovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

xbqw.k3121.com PCY1M2ovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

xaqw.k3121.com PCU1M2ovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

qwsd.k3121.com NTM3IGovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

axqw.k3121.com JTw1M2ovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

awqx.k3121.com JTM1PGovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

awqx.k3121.com JTM1PGovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

lfdx.k3121.com KCIgPGovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

oklm.k3121.com Ky8oKWovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

hyjk.k3121.com LD0uL2ovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

dfgh.k3121.com ICIjLGovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

nulp.k3121.com KjEoNGovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=

hnai.k3121.com LColLWovd3V2dWonKylEREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREREQ=
Yara Signatures
rule Nosedive {
    meta:
        author = "Lumen Technologies - Black Lotus Labs"

    strings:
        $r1 = {DC FE BA DC}

        $s1 = "bmac" ascii fullword
        $s2 = "barch" ascii fullword
        $s3 = "bos" ascii fullword
        $s4 = "bdns" ascii fullword
        $s5 = "bgateway" ascii fullword
        $s6 = "bip" ascii fullword
        $s7 = "biface" ascii fullword
        $s8 = "huuid" ascii fullword
        $s9 = "buuid" ascii fullword
        $s10 = "bot_name" ascii fullword
    condition:
        uint32(0) == 0x464c457f and filesize > 200KB and filesize < 3MB and 1 of ($r*) and 8 of ($s*)
}

rule Nosedive_dropper {
    meta:
        author = "Lumen Technologies - Black Lotus Labs"

    strings:
        $r1 = "#!/bin/sh" ascii fullword
        $r2 = "RERERERERERERERERERERERE" ascii
        
        $s1 = "/tmp" ascii
        $s2 = "/var/tmp" ascii
        $s3 = "http://" ascii
        $s4 = "rm -rf $0" ascii fullword

        $b1 = "arm" ascii
        $b2 = "mipsel" ascii
        $b3 = "mips" ascii
        $b4 = "x86" ascii
        $b5 = "x86_64" ascii
        $b6 = "ppc" ascii
        $b7 = "sh4" ascii

    condition:
        filesize < 2KB and $r1 at 0 and $r2 and 3 of ($s*) and 5 of ($b*)
}

rule Nosedive_custom_dropper {
    meta:
        author = "Lumen Technologies - Black Lotus Labs"

    strings:
        $r1 = "#!/bin/sh" ascii fullword
        
        $s1 = "/tmp" ascii
        $s2 = "/var/tmp" ascii
        $s3 = "wget http://" ascii
        $s4 = "rm -rf $0" ascii fullword
        $s5 = "kill -9 `pidof" ascii
        $s6 = "sleep 1" ascii fullword
        $s7 = "while true" ascii fullword

    condition:
        filesize < 3KB and $r1 at 0 and 6 of ($s*)
}

